name,location,rating,review_count,price,categories,coordinates,latitude,longitude
Eliza's,"2877 California St San Francisco, CA 94115",3.5,550,$$,Chinese,"{'latitude': 37.7876472473145, 'longitude': -122.441612243652}",37.7876472473145,-122.441612243652
Eric's Restaurant,"1500 Church St San Francisco, CA 94131",3.5,722,$$,Chinese,"{'latitude': 37.74675, 'longitude': -122.42724}",37.74675,-122.42724
Bei Fang Style,"2218 Irving St San Francisco, CA 94122",4.0,63,$,Chinese,"{'latitude': 37.7635999, 'longitude': -122.48179}",37.7635999,-122.48179
wonderful,"270 Broadway Millbrae, CA 94030",4.0,671,$$,Chinese,"{'latitude': 37.6006971644202, 'longitude': -122.391315776092}",37.6006971644202,-122.391315776092
Lai Hong Lounge,"1416 Powell St San Francisco, CA 94133",3.5,802,$$,Chinese,"{'latitude': 37.7978499, 'longitude': -122.41012}",37.7978499,-122.41012
Tēo Restaurant & Bar,"1111 Mission St San Francisco, CA 94103",3.5,288,$$,Chinese,"{'latitude': 37.7789396944923, 'longitude': -122.411170243043}",37.7789396944923,-122.411170243043
Thai Nghiep Ky Mi Gia,"1427 Noriega St San Francisco, CA 94122",4.0,400,$,Chinese,"{'latitude': 37.7539242833532, 'longitude': -122.47903380817}",37.7539242833532,-122.47903380817
Yamo,"3406 18th St San Francisco, CA 94110",3.5,1958,$,Chinese,"{'latitude': 37.7619463343878, 'longitude': -122.419764563536}",37.7619463343878,-122.419764563536
Little Szechuan,"501 Broadway St San Francisco, CA 94133",3.5,492,$$,Chinese,"{'latitude': 37.7980089, 'longitude': -122.4055694}",37.7980089,-122.4055694
Kitchen Story,"3499 16th St San Francisco, CA 94114",4.0,3237,$$,Chinese,"{'latitude': 37.7642352, 'longitude': -122.4306936}",37.7642352,-122.4306936
New Ming's Restaurant,"641 Mission St San Francisco, CA 94105",3.5,396,$,Chinese,"{'latitude': 37.7870716, 'longitude': -122.4008016}",37.7870716,-122.4008016
Wing Hing,"2550 San Bruno Ave San Francisco, CA 94134",3.5,94,$,Chinese,"{'latitude': 37.7293243408203, 'longitude': -122.404663085938}",37.7293243408203,-122.404663085938
D & A Cafe,"407 Clement St San Francisco, CA 94118",3.0,631,$,Chinese,"{'latitude': 37.78273, 'longitude': -122.46361}",37.78273,-122.46361
Hunan Cafe 2,"4450 Cabrillo St San Francisco, CA 94121",4.0,389,$,Chinese,"{'latitude': 37.773535, 'longitude': -122.506693}",37.773535,-122.506693
San Tung 2,"1033 Irving St San Francisco, CA 94122",4.0,492,$$,Chinese,"{'latitude': 37.76377, 'longitude': -122.46906}",37.76377,-122.46906
Alice's Restaurant,"1599 Sanchez St San Francisco, CA 94131",4.0,277,$$,Chinese,"{'latitude': 37.743741, 'longitude': -122.428833}",37.743741,-122.428833
San Wang Restaurant,"1682 Post St San Francisco, CA 94115",3.5,459,$$,Chinese,"{'latitude': 37.7856905758381, 'longitude': -122.429270222783}",37.7856905758381,-122.429270222783
Tung Sing Restaurant,"4015 24th St San Francisco, CA 94114",3.0,92,$,Chinese,"{'latitude': 37.75112, 'longitude': -122.4323}",37.75112,-122.4323
DNM Hot Pot,"1115 Clement St San Francisco, CA 94118",4.5,94,$$,Chinese,"{'latitude': 37.78249, 'longitude': -122.47119}",37.78249,-122.47119
Orchids Cafe,"1031 Ocean Ave San Francisco, CA 94112",4.0,121,$$,Chinese,"{'latitude': 37.72311, 'longitude': -122.45369}",37.72311,-122.45369
Feng Ze Yuan 鋒味館,"4401 Balboa St San Francisco, CA 94121",3.5,55,$$,Chinese,"{'latitude': 37.7751699413949, 'longitude': -122.506119869649}",37.7751699413949,-122.506119869649
Goldelicious,"2333 Irving St San Francisco, CA 94122",4.0,68,$$,Chinese,"{'latitude': 37.76305, 'longitude': -122.48308}",37.76305,-122.48308
Little Sheep Mongolian Hot Pot,"405 Mason St San Francisco, CA 94102",4.0,583,$$,Chinese,"{'latitude': 37.787367, 'longitude': -122.410103}",37.787367,-122.410103
Tropisueno,"75 Yerba Buena Ln San Francisco, CA 94103",4.0,4387,$$,Mexican,"{'latitude': 37.7853008468227, 'longitude': -122.403918653727}",37.7853008468227,-122.403918653727
El Farolito,"2779 Mission St San Francisco, CA 94110",4.0,4846,$,Mexican,"{'latitude': 37.75265, 'longitude': -122.41812}",37.75265,-122.41812
Sunset Cantina,"3414-3416 Judah St San Francisco, CA 94122",4.5,44,$$,Mexican,"{'latitude': 37.7608517013843, 'longitude': -122.498777322471}",37.7608517013843,-122.498777322471
Padrecito,"901 Cole St San Francisco, CA 94117",4.0,904,$$,Mexican,"{'latitude': 37.7656775, 'longitude': -122.4500746}",37.7656775,-122.4500746
La Taqueria,"2889 Mission St San Francisco, CA 94110",4.0,3998,$,Mexican,"{'latitude': 37.75088, 'longitude': -122.41805}",37.75088,-122.41805
Nopalito,"1224 9th Ave San Francisco, CA 94122",4.0,1314,$$,Mexican,"{'latitude': 37.765409579693, 'longitude': -122.466281482937}",37.765409579693,-122.466281482937
Pancho Villa Taqueria,"3071 16th St San Francisco, CA 94103",4.0,2571,$,Mexican,"{'latitude': 37.7648138, 'longitude': -122.4212461}",37.7648138,-122.4212461
Taqueria Guadalajara,"4798 Mission St San Francisco, CA 94112",4.0,928,$,Mexican,"{'latitude': 37.7212907373905, 'longitude': -122.437459006906}",37.7212907373905,-122.437459006906
El Burrito Express,"1812 Divisadero St San Francisco, CA 94115",4.0,732,$,Mexican,"{'latitude': 37.78646, 'longitude': -122.43982}",37.78646,-122.43982
La Corneta Taqueria,"2834 Diamond St San Francisco, CA 94131",4.0,1092,$$,Mexican,"{'latitude': 37.734085, 'longitude': -122.434144}",37.734085,-122.434144
Don Pistos,"510 Union St San Francisco, CA 94133",4.0,1787,$$,Mexican,"{'latitude': 37.80078, 'longitude': -122.40784}",37.80078,-122.40784
The Little Chihuahua,"292 Divisadero St San Francisco, CA 94117",4.0,1467,$$,Mexican,"{'latitude': 37.7720399, 'longitude': -122.43688}",37.7720399,-122.43688
Taqueria Los Mayas,"331 Clement St San Francisco, CA 94118",4.0,299,$$,Mexican,"{'latitude': 37.7828267189761, 'longitude': -122.462883666158}",37.7828267189761,-122.462883666158
Velvet Cantina,"3349 23rd St San Francisco, CA 94110",4.0,1230,$$,Mexican,"{'latitude': 37.753802, 'longitude': -122.419701}",37.753802,-122.419701
Tacorgasmico,"2337 Market St San Francisco, CA 94114",4.0,251,$$,Mexican,"{'latitude': 37.7632910125469, 'longitude': -122.433849088848}",37.7632910125469,-122.433849088848
Colibri Mexican Bistro,"438 Geary St San Francisco, CA 94102",4.0,2349,$$,Mexican,"{'latitude': 37.7871606463558, 'longitude': -122.410636659841}",37.7871606463558,-122.410636659841
El Metate Restaurant,"2406 Bryant St San Francisco, CA 94110",4.0,1105,$,Mexican,"{'latitude': 37.7556745300616, 'longitude': -122.409623820024}",37.7556745300616,-122.409623820024
Matador,"679 Sutter St San Francisco, CA 94102",4.0,566,$$,Mexican,"{'latitude': 37.78873, 'longitude': -122.41149}",37.78873,-122.41149
El Castillito,"136 Church St San Francisco, CA 94114",4.0,841,$$,Mexican,"{'latitude': 37.76872, 'longitude': -122.42943}",37.76872,-122.42943
Nick's Crispy Tacos,"1500 Broadway San Francisco, CA 94109",4.0,3313,$$,Mexican,"{'latitude': 37.79607, 'longitude': -122.42196}",37.79607,-122.42196
La Palma Mexicatessen,"2884 24th St San Francisco, CA 94110",4.5,634,$,Mexican,"{'latitude': 37.75297, 'longitude': -122.40994}",37.75297,-122.40994
San Jalisco,"901 S Van Ness Ave San Francisco, CA 94110",4.0,771,$$,Mexican,"{'latitude': 37.75865, 'longitude': -122.41668}",37.75865,-122.41668
Taqueria Cancún,"2288 Mission St San Francisco, CA 94110",4.0,2023,$,Mexican,"{'latitude': 37.76047, 'longitude': -122.41951}",37.76047,-122.41951
